EcoCar Motors Log
16:26:9
millis, motor1 Speed, motor2 Speed, motor1 Current, motor2 Current, Buck DCDC Voltage, Power, Direction, Cruise
16255,0,0,64,5098,36,false,false,false

16281,0,0,64,5098,36,false,false,false

16310,0,0,64,5098,36,false,false,false

16338,0,0,64,5098,36,false,false,false

16366,0,0,64,5098,36,false,false,false

16392,0,0,64,5098,36,false,false,false

16419,0,0,64,5098,36,false,false,false

16447,0,0,64,5098,36,false,false,false

16483,0,0,64,5098,36,false,false,false

16513,0,0,64,5098,36,false,false,false

16537,0,0,64,5098,36,false,false,false

16560,0,0,64,5098,36,false,false,false

16587,0,0,64,5098,36,false,false,false

16610,0,0,64,5098,36,false,false,false

16635,0,0,64,5098,36,false,false,false

16658,0,0,64,5098,36,false,false,false

16681,0,0,64,5098,36,false,false,false

16709,0,0,64,5098,36,false,false,false

16735,0,0,64,5098,36,false,false,false

16761,0,0,64,5098,36,false,false,false

16786,0,0,64,5098,36,false,false,false

16812,0,0,64,5098,36,false,false,false

16841,0,0,64,5098,36,false,false,false

16868,0,0,64,5098,36,false,false,false

16892,0,0,64,5098,36,false,false,false

16917,0,0,64,5098,36,false,false,false

16947,0,0,64,5098,36,false,false,false

16976,0,0,64,5098,36,false,false,false

17005,0,0,64,5098,36,false,false,false

17033,0,0,64,5098,36,false,false,false

17059,0,0,64,5098,36,false,false,false

17084,0,0,64,5098,36,false,false,false

17114,0,0,64,5098,36,false,false,false

17140,0,0,64,5098,36,false,false,false

17162,0,0,64,5098,36,false,false,false

17184,0,0,64,5098,36,false,false,false

17209,0,0,64,5098,36,false,false,false

17239,0,0,64,5098,36,false,false,false

17261,0,0,64,5098,36,false,false,false

17284,0,0,64,5098,36,false,false,false

17310,0,0,64,5098,36,false,false,false

17336,0,0,64,5098,36,false,false,false

17364,0,0,64,5098,36,false,false,false

17389,0,0,64,5098,36,false,false,false

17414,0,0,64,5098,36,false,false,false

17440,0,0,64,5098,36,false,false,false

17470,0,0,64,5098,36,false,false,false

17496,0,0,64,5098,0,false,false,false

17525,0,0,64,5098,25,false,false,false

17548,0,0,64,5098,36,false,false,false

17578,0,0,64,5098,36,false,false,false

17605,0,0,64,5098,36,false,false,false

17635,0,0,64,5098,36,false,false,false

17665,0,0,64,5098,36,false,false,false

17689,0,0,64,5098,36,false,false,false

17721,0,0,65535,5098,36,false,false,false

17751,0,0,255,5098,36,false,false,false

17776,0,0,61,5098,36,false,false,false

17802,0,0,61,5098,36,false,false,false

17830,0,0,61,61,36,false,false,false

17858,0,0,61,4925,36,false,false,false

17885,0,0,61,5101,36,false,false,false

17909,0,0,61,5101,36,false,false,false

17936,5101,0,61,5101,36,false,false,false

17963,237,0,61,5101,36,false,false,false

17988,0,0,61,5101,36,false,false,false

18016,0,0,61,5101,36,false,false,false

18042,0,0,61,5101,36,false,false,false

18067,0,0,61,5101,36,false,false,false

18096,0,0,61,5101,36,false,false,false

18120,0,0,61,5101,36,false,false,false

